AZ_bottom V,AZ_top V,AY V,AX V
0.8,-2.745,-0.27,-0.45
0.8,-2.745,-0.27,-0.36
0.8,-2.745,-0.27,-0.27
0.8,-2.745,-0.27,-0.18000000000000005
0.8,-2.745,-0.27,-0.09000000000000008
0.8,-2.745,-0.27,0.0
0.8,-2.745,-0.18000000000000005,-0.9
0.8,-2.745,-0.18000000000000005,-0.81
0.8,-2.745,-0.18000000000000005,-0.72
0.8,-2.745,-0.18000000000000005,-0.63
0.8,-2.745,-0.18000000000000005,-0.54
0.8,-2.745,-0.18000000000000005,-0.45
0.8,-2.745,-0.18000000000000005,-0.36
0.8,-2.745,-0.18000000000000005,-0.27
0.8,-2.745,-0.18000000000000005,-0.18000000000000005
0.8,-2.745,-0.18000000000000005,-0.09000000000000008
0.8,-2.745,-0.18000000000000005,0.0
0.8,-2.745,-0.09000000000000008,-0.9
0.8,-2.745,-0.09000000000000008,-0.81
0.8,-2.745,-0.09000000000000008,-0.72
0.8,-2.745,-0.09000000000000008,-0.63
0.8,-2.745,-0.09000000000000008,-0.54
0.8,-2.745,-0.09000000000000008,-0.45
0.8,-2.745,-0.09000000000000008,-0.36
0.8,-2.745,-0.09000000000000008,-0.27
0.8,-2.745,-0.09000000000000008,-0.18000000000000005
0.8,-2.745,-0.09000000000000008,-0.09000000000000008
0.8,-2.745,-0.09000000000000008,0.0
0.8,-2.745,0.0,-0.9
0.8,-2.745,0.0,-0.81
0.8,-2.745,0.0,-0.72
0.8,-2.745,0.0,-0.63
0.8,-2.745,0.0,-0.54
0.8,-2.745,0.0,-0.45
0.8,-2.745,0.0,-0.36
0.8,-2.745,0.0,-0.27
0.8,-2.745,0.0,-0.18000000000000005
0.8,-2.745,0.0,-0.09000000000000008
0.8,-2.745,0.0,0.0
0.8200000000000001,-2.745,-0.9,-0.9
0.8200000000000001,-2.745,-0.9,-0.81
0.8200000000000001,-2.745,-0.9,-0.72
0.8200000000000001,-2.745,-0.9,-0.63
0.8200000000000001,-2.745,-0.9,-0.54
0.8200000000000001,-2.745,-0.9,-0.45
0.8200000000000001,-2.745,-0.9,-0.36
0.8200000000000001,-2.745,-0.9,-0.27
0.8200000000000001,-2.745,-0.9,-0.18000000000000005
0.8200000000000001,-2.745,-0.9,-0.09000000000000008
0.8200000000000001,-2.745,-0.9,0.0
0.8200000000000001,-2.745,-0.81,-0.9
0.8200000000000001,-2.745,-0.81,-0.81
0.8200000000000001,-2.745,-0.81,-0.72
0.8200000000000001,-2.745,-0.81,-0.63
0.8200000000000001,-2.745,-0.81,-0.54
0.8200000000000001,-2.745,-0.81,-0.45
0.8200000000000001,-2.745,-0.81,-0.36
0.8200000000000001,-2.745,-0.81,-0.27
0.8200000000000001,-2.745,-0.81,-0.18000000000000005
0.8200000000000001,-2.745,-0.81,-0.09000000000000008
0.8200000000000001,-2.745,-0.81,0.0
0.8200000000000001,-2.745,-0.72,-0.9
0.8200000000000001,-2.745,-0.72,-0.81
0.8200000000000001,-2.745,-0.72,-0.72
0.8200000000000001,-2.745,-0.72,-0.63
0.8200000000000001,-2.745,-0.72,-0.54
0.8200000000000001,-2.745,-0.72,-0.45
0.8200000000000001,-2.745,-0.72,-0.36
0.8200000000000001,-2.745,-0.72,-0.27
0.8200000000000001,-2.745,-0.72,-0.18000000000000005
0.8200000000000001,-2.745,-0.72,-0.09000000000000008
0.8200000000000001,-2.745,-0.72,0.0
0.8200000000000001,-2.745,-0.63,-0.9
0.8200000000000001,-2.745,-0.63,-0.81
0.8200000000000001,-2.745,-0.63,-0.72
0.8200000000000001,-2.745,-0.63,-0.63
0.8200000000000001,-2.745,-0.63,-0.54
0.8200000000000001,-2.745,-0.63,-0.45
0.8200000000000001,-2.745,-0.63,-0.36
0.8200000000000001,-2.745,-0.63,-0.27
0.8200000000000001,-2.745,-0.63,-0.18000000000000005
0.8200000000000001,-2.745,-0.63,-0.09000000000000008
0.8200000000000001,-2.745,-0.63,0.0
0.8200000000000001,-2.745,-0.54,-0.9
0.8200000000000001,-2.745,-0.54,-0.81
0.8200000000000001,-2.745,-0.54,-0.72
0.8200000000000001,-2.745,-0.54,-0.63
0.8200000000000001,-2.745,-0.54,-0.54
0.8200000000000001,-2.745,-0.54,-0.45
0.8200000000000001,-2.745,-0.54,-0.36
0.8200000000000001,-2.745,-0.54,-0.27
0.8200000000000001,-2.745,-0.54,-0.18000000000000005
0.8200000000000001,-2.745,-0.54,-0.09000000000000008
0.8200000000000001,-2.745,-0.54,0.0
0.8200000000000001,-2.745,-0.45,-0.9
0.8200000000000001,-2.745,-0.45,-0.81
0.8200000000000001,-2.745,-0.45,-0.72
0.8200000000000001,-2.745,-0.45,-0.63
0.8200000000000001,-2.745,-0.45,-0.54
0.8200000000000001,-2.745,-0.45,-0.45
0.8200000000000001,-2.745,-0.45,-0.36
0.8200000000000001,-2.745,-0.45,-0.27
0.8200000000000001,-2.745,-0.45,-0.18000000000000005
0.8200000000000001,-2.745,-0.45,-0.09000000000000008
0.8200000000000001,-2.745,-0.45,0.0
0.8200000000000001,-2.745,-0.36,-0.9
0.8200000000000001,-2.745,-0.36,-0.81
0.8200000000000001,-2.745,-0.36,-0.72
0.8200000000000001,-2.745,-0.36,-0.63
0.8200000000000001,-2.745,-0.36,-0.54
0.8200000000000001,-2.745,-0.36,-0.45
0.8200000000000001,-2.745,-0.36,-0.36
0.8200000000000001,-2.745,-0.36,-0.27
0.8200000000000001,-2.745,-0.36,-0.18000000000000005
0.8200000000000001,-2.745,-0.36,-0.09000000000000008
0.8200000000000001,-2.745,-0.36,0.0
0.8200000000000001,-2.745,-0.27,-0.9
0.8200000000000001,-2.745,-0.27,-0.81
0.8200000000000001,-2.745,-0.27,-0.72
0.8200000000000001,-2.745,-0.27,-0.63
0.8200000000000001,-2.745,-0.27,-0.54
0.8200000000000001,-2.745,-0.27,-0.45
0.8200000000000001,-2.745,-0.27,-0.36
0.8200000000000001,-2.745,-0.27,-0.27
0.8200000000000001,-2.745,-0.27,-0.18000000000000005
0.8200000000000001,-2.745,-0.27,-0.09000000000000008
0.8200000000000001,-2.745,-0.27,0.0
0.8200000000000001,-2.745,-0.18000000000000005,-0.9
0.8200000000000001,-2.745,-0.18000000000000005,-0.81
0.8200000000000001,-2.745,-0.18000000000000005,-0.72
0.8200000000000001,-2.745,-0.18000000000000005,-0.63
0.8200000000000001,-2.745,-0.18000000000000005,-0.54
0.8200000000000001,-2.745,-0.18000000000000005,-0.45
0.8200000000000001,-2.745,-0.18000000000000005,-0.36
0.8200000000000001,-2.745,-0.18000000000000005,-0.27
0.8200000000000001,-2.745,-0.18000000000000005,-0.18000000000000005
0.8200000000000001,-2.745,-0.18000000000000005,-0.09000000000000008
0.8200000000000001,-2.745,-0.18000000000000005,0.0
0.8200000000000001,-2.745,-0.09000000000000008,-0.9
0.8200000000000001,-2.745,-0.09000000000000008,-0.81
0.8200000000000001,-2.745,-0.09000000000000008,-0.72
0.8200000000000001,-2.745,-0.09000000000000008,-0.63
0.8200000000000001,-2.745,-0.09000000000000008,-0.54
0.8200000000000001,-2.745,-0.09000000000000008,-0.45
0.8200000000000001,-2.745,-0.09000000000000008,-0.36
0.8200000000000001,-2.745,-0.09000000000000008,-0.27
0.8200000000000001,-2.745,-0.09000000000000008,-0.18000000000000005
0.8200000000000001,-2.745,-0.09000000000000008,-0.09000000000000008
0.8200000000000001,-2.745,-0.09000000000000008,0.0
0.8200000000000001,-2.745,0.0,-0.9
0.8200000000000001,-2.745,0.0,-0.81
0.8200000000000001,-2.745,0.0,-0.72
0.8200000000000001,-2.745,0.0,-0.63
0.8200000000000001,-2.745,0.0,-0.54
0.8200000000000001,-2.745,0.0,-0.45
0.8200000000000001,-2.745,0.0,-0.36
0.8200000000000001,-2.745,0.0,-0.27
0.8200000000000001,-2.745,0.0,-0.18000000000000005
0.8200000000000001,-2.745,0.0,-0.09000000000000008
0.8200000000000001,-2.745,0.0,0.0
0.8400000000000001,-2.745,-0.9,-0.9
0.8400000000000001,-2.745,-0.9,-0.81
0.8400000000000001,-2.745,-0.9,-0.72
0.8400000000000001,-2.745,-0.9,-0.63
0.8400000000000001,-2.745,-0.9,-0.54
0.8400000000000001,-2.745,-0.9,-0.45
0.8400000000000001,-2.745,-0.9,-0.36
0.8400000000000001,-2.745,-0.9,-0.27
0.8400000000000001,-2.745,-0.9,-0.18000000000000005
0.8400000000000001,-2.745,-0.9,-0.09000000000000008
0.8400000000000001,-2.745,-0.9,0.0
0.8400000000000001,-2.745,-0.81,-0.9
0.8400000000000001,-2.745,-0.81,-0.81
0.8400000000000001,-2.745,-0.81,-0.72
0.8400000000000001,-2.745,-0.81,-0.63
0.8400000000000001,-2.745,-0.81,-0.54
0.8400000000000001,-2.745,-0.81,-0.45
0.8400000000000001,-2.745,-0.81,-0.36
0.8400000000000001,-2.745,-0.81,-0.27
0.8400000000000001,-2.745,-0.81,-0.18000000000000005
0.8400000000000001,-2.745,-0.81,-0.09000000000000008
0.8400000000000001,-2.745,-0.81,0.0
0.8400000000000001,-2.745,-0.72,-0.9
0.8400000000000001,-2.745,-0.72,-0.81
0.8400000000000001,-2.745,-0.72,-0.72
0.8400000000000001,-2.745,-0.72,-0.63
0.8400000000000001,-2.745,-0.72,-0.54
0.8400000000000001,-2.745,-0.72,-0.45
0.8400000000000001,-2.745,-0.72,-0.36
0.8400000000000001,-2.745,-0.72,-0.27
0.8400000000000001,-2.745,-0.72,-0.18000000000000005
0.8400000000000001,-2.745,-0.72,-0.09000000000000008
0.8400000000000001,-2.745,-0.72,0.0
0.8400000000000001,-2.745,-0.63,-0.9
0.8400000000000001,-2.745,-0.63,-0.81
0.8400000000000001,-2.745,-0.63,-0.72
0.8400000000000001,-2.745,-0.63,-0.63
0.8400000000000001,-2.745,-0.63,-0.54
0.8400000000000001,-2.745,-0.63,-0.45
0.8400000000000001,-2.745,-0.63,-0.36
0.8400000000000001,-2.745,-0.63,-0.27
0.8400000000000001,-2.745,-0.63,-0.18000000000000005
0.8400000000000001,-2.745,-0.63,-0.09000000000000008
0.8400000000000001,-2.745,-0.63,0.0
0.8400000000000001,-2.745,-0.54,-0.9
0.8400000000000001,-2.745,-0.54,-0.81
0.8400000000000001,-2.745,-0.54,-0.72
0.8400000000000001,-2.745,-0.54,-0.63
0.8400000000000001,-2.745,-0.54,-0.54
0.8400000000000001,-2.745,-0.54,-0.45
0.8400000000000001,-2.745,-0.54,-0.36
0.8400000000000001,-2.745,-0.54,-0.27
0.8400000000000001,-2.745,-0.54,-0.18000000000000005
0.8400000000000001,-2.745,-0.54,-0.09000000000000008
0.8400000000000001,-2.745,-0.54,0.0
0.8400000000000001,-2.745,-0.45,-0.9
0.8400000000000001,-2.745,-0.45,-0.81
0.8400000000000001,-2.745,-0.45,-0.72
0.8400000000000001,-2.745,-0.45,-0.63
0.8400000000000001,-2.745,-0.45,-0.54
0.8400000000000001,-2.745,-0.45,-0.45
0.8400000000000001,-2.745,-0.45,-0.36
0.8400000000000001,-2.745,-0.45,-0.27
0.8400000000000001,-2.745,-0.45,-0.18000000000000005
0.8400000000000001,-2.745,-0.45,-0.09000000000000008
0.8400000000000001,-2.745,-0.45,0.0
0.8400000000000001,-2.745,-0.36,-0.9
0.8400000000000001,-2.745,-0.36,-0.81
0.8400000000000001,-2.745,-0.36,-0.72
0.8400000000000001,-2.745,-0.36,-0.63
0.8400000000000001,-2.745,-0.36,-0.54
0.8400000000000001,-2.745,-0.36,-0.45
0.8400000000000001,-2.745,-0.36,-0.36
0.8400000000000001,-2.745,-0.36,-0.27
0.8400000000000001,-2.745,-0.36,-0.18000000000000005
0.8400000000000001,-2.745,-0.36,-0.09000000000000008
0.8400000000000001,-2.745,-0.36,0.0
0.8400000000000001,-2.745,-0.27,-0.9
0.8400000000000001,-2.745,-0.27,-0.81
0.8400000000000001,-2.745,-0.27,-0.72
0.8400000000000001,-2.745,-0.27,-0.63
0.8400000000000001,-2.745,-0.27,-0.54
0.8400000000000001,-2.745,-0.27,-0.45
0.8400000000000001,-2.745,-0.27,-0.36
0.8400000000000001,-2.745,-0.27,-0.27
0.8400000000000001,-2.745,-0.27,-0.18000000000000005
0.8400000000000001,-2.745,-0.27,-0.09000000000000008
0.8400000000000001,-2.745,-0.27,0.0
0.8400000000000001,-2.745,-0.18000000000000005,-0.9
0.8400000000000001,-2.745,-0.18000000000000005,-0.81
0.8400000000000001,-2.745,-0.18000000000000005,-0.72
0.8400000000000001,-2.745,-0.18000000000000005,-0.63
0.8400000000000001,-2.745,-0.18000000000000005,-0.54
0.8400000000000001,-2.745,-0.18000000000000005,-0.45
0.8400000000000001,-2.745,-0.18000000000000005,-0.36
0.8400000000000001,-2.745,-0.18000000000000005,-0.27
0.8400000000000001,-2.745,-0.18000000000000005,-0.18000000000000005
0.8400000000000001,-2.745,-0.18000000000000005,-0.09000000000000008
0.8400000000000001,-2.745,-0.18000000000000005,0.0
0.8400000000000001,-2.745,-0.09000000000000008,-0.9
0.8400000000000001,-2.745,-0.09000000000000008,-0.81
0.8400000000000001,-2.745,-0.09000000000000008,-0.72
0.8400000000000001,-2.745,-0.09000000000000008,-0.63
0.8400000000000001,-2.745,-0.09000000000000008,-0.54
0.8400000000000001,-2.745,-0.09000000000000008,-0.45
0.8400000000000001,-2.745,-0.09000000000000008,-0.36
0.8400000000000001,-2.745,-0.09000000000000008,-0.27
0.8400000000000001,-2.745,-0.09000000000000008,-0.18000000000000005
0.8400000000000001,-2.745,-0.09000000000000008,-0.09000000000000008
0.8400000000000001,-2.745,-0.09000000000000008,0.0
0.8400000000000001,-2.745,0.0,-0.9
0.8400000000000001,-2.745,0.0,-0.81
0.8400000000000001,-2.745,0.0,-0.72
0.8400000000000001,-2.745,0.0,-0.63
0.8400000000000001,-2.745,0.0,-0.54
0.8400000000000001,-2.745,0.0,-0.45
0.8400000000000001,-2.745,0.0,-0.36
0.8400000000000001,-2.745,0.0,-0.27
0.8400000000000001,-2.745,0.0,-0.18000000000000005
0.8400000000000001,-2.745,0.0,-0.09000000000000008
0.8400000000000001,-2.745,0.0,0.0
0.86,-2.745,-0.9,-0.9
0.86,-2.745,-0.9,-0.81
0.86,-2.745,-0.9,-0.72
0.86,-2.745,-0.9,-0.63
0.86,-2.745,-0.9,-0.54
0.86,-2.745,-0.9,-0.45
0.86,-2.745,-0.9,-0.36
0.86,-2.745,-0.9,-0.27
0.86,-2.745,-0.9,-0.18000000000000005
0.86,-2.745,-0.9,-0.09000000000000008
0.86,-2.745,-0.9,0.0
0.86,-2.745,-0.81,-0.9
0.86,-2.745,-0.81,-0.81
0.86,-2.745,-0.81,-0.72
0.86,-2.745,-0.81,-0.63
0.86,-2.745,-0.81,-0.54
0.86,-2.745,-0.81,-0.45
0.86,-2.745,-0.81,-0.36
0.86,-2.745,-0.81,-0.27
0.86,-2.745,-0.81,-0.18000000000000005
0.86,-2.745,-0.81,-0.09000000000000008
0.86,-2.745,-0.81,0.0
0.86,-2.745,-0.72,-0.9
0.86,-2.745,-0.72,-0.81
0.86,-2.745,-0.72,-0.72
0.86,-2.745,-0.72,-0.63
0.86,-2.745,-0.72,-0.54
0.86,-2.745,-0.72,-0.45
0.86,-2.745,-0.72,-0.36
0.86,-2.745,-0.72,-0.27
0.86,-2.745,-0.72,-0.18000000000000005
0.86,-2.745,-0.72,-0.09000000000000008
0.86,-2.745,-0.72,0.0
0.86,-2.745,-0.63,-0.9
0.86,-2.745,-0.63,-0.81
0.86,-2.745,-0.63,-0.72
0.86,-2.745,-0.63,-0.63
0.86,-2.745,-0.63,-0.54
0.86,-2.745,-0.63,-0.45
0.86,-2.745,-0.63,-0.36
0.86,-2.745,-0.63,-0.27
0.86,-2.745,-0.63,-0.18000000000000005
0.86,-2.745,-0.63,-0.09000000000000008
0.86,-2.745,-0.63,0.0
0.86,-2.745,-0.54,-0.9
0.86,-2.745,-0.54,-0.81
0.86,-2.745,-0.54,-0.72
0.86,-2.745,-0.54,-0.63
0.86,-2.745,-0.54,-0.54
0.86,-2.745,-0.54,-0.45
0.86,-2.745,-0.54,-0.36
0.86,-2.745,-0.54,-0.27
0.86,-2.745,-0.54,-0.18000000000000005
0.86,-2.745,-0.54,-0.09000000000000008
0.86,-2.745,-0.54,0.0
0.86,-2.745,-0.45,-0.9
0.86,-2.745,-0.45,-0.81
0.86,-2.745,-0.45,-0.72
0.86,-2.745,-0.45,-0.63
0.86,-2.745,-0.45,-0.54
0.86,-2.745,-0.45,-0.45
0.86,-2.745,-0.45,-0.36
0.86,-2.745,-0.45,-0.27
0.86,-2.745,-0.45,-0.18000000000000005
0.86,-2.745,-0.45,-0.09000000000000008
0.86,-2.745,-0.45,0.0
0.86,-2.745,-0.36,-0.9
0.86,-2.745,-0.36,-0.81
0.86,-2.745,-0.36,-0.72
0.86,-2.745,-0.36,-0.63
0.86,-2.745,-0.36,-0.54
0.86,-2.745,-0.36,-0.45
0.86,-2.745,-0.36,-0.36
0.86,-2.745,-0.36,-0.27
0.86,-2.745,-0.36,-0.18000000000000005
0.86,-2.745,-0.36,-0.09000000000000008
0.86,-2.745,-0.36,0.0
0.86,-2.745,-0.27,-0.9
0.86,-2.745,-0.27,-0.81
0.86,-2.745,-0.27,-0.72
0.86,-2.745,-0.27,-0.63
0.86,-2.745,-0.27,-0.54
0.86,-2.745,-0.27,-0.45
0.86,-2.745,-0.27,-0.36
0.86,-2.745,-0.27,-0.27
0.86,-2.745,-0.27,-0.18000000000000005
0.86,-2.745,-0.27,-0.09000000000000008
0.86,-2.745,-0.27,0.0
0.86,-2.745,-0.18000000000000005,-0.9
0.86,-2.745,-0.18000000000000005,-0.81
0.86,-2.745,-0.18000000000000005,-0.72
0.86,-2.745,-0.18000000000000005,-0.63
0.86,-2.745,-0.18000000000000005,-0.54
0.86,-2.745,-0.18000000000000005,-0.45
0.86,-2.745,-0.18000000000000005,-0.36
0.86,-2.745,-0.18000000000000005,-0.27
0.86,-2.745,-0.18000000000000005,-0.18000000000000005
0.86,-2.745,-0.18000000000000005,-0.09000000000000008
0.86,-2.745,-0.18000000000000005,0.0
0.86,-2.745,-0.09000000000000008,-0.9
0.86,-2.745,-0.09000000000000008,-0.81
0.86,-2.745,-0.09000000000000008,-0.72
0.86,-2.745,-0.09000000000000008,-0.63
0.86,-2.745,-0.09000000000000008,-0.54
0.86,-2.745,-0.09000000000000008,-0.45
0.86,-2.745,-0.09000000000000008,-0.36
0.86,-2.745,-0.09000000000000008,-0.27
0.86,-2.745,-0.09000000000000008,-0.18000000000000005
0.86,-2.745,-0.09000000000000008,-0.09000000000000008
0.86,-2.745,-0.09000000000000008,0.0
0.86,-2.745,0.0,-0.9
0.86,-2.745,0.0,-0.81
0.86,-2.745,0.0,-0.72
0.86,-2.745,0.0,-0.63
0.86,-2.745,0.0,-0.54
0.86,-2.745,0.0,-0.45
0.86,-2.745,0.0,-0.36
0.86,-2.745,0.0,-0.27
0.86,-2.745,0.0,-0.18000000000000005
0.86,-2.745,0.0,-0.09000000000000008
0.86,-2.745,0.0,0.0
0.88,-2.745,-0.9,-0.9
0.88,-2.745,-0.9,-0.81
0.88,-2.745,-0.9,-0.72
0.88,-2.745,-0.9,-0.63
0.88,-2.745,-0.9,-0.54
0.88,-2.745,-0.9,-0.45
0.88,-2.745,-0.9,-0.36
0.88,-2.745,-0.9,-0.27
0.88,-2.745,-0.9,-0.18000000000000005
0.88,-2.745,-0.9,-0.09000000000000008
0.88,-2.745,-0.9,0.0
0.88,-2.745,-0.81,-0.9
0.88,-2.745,-0.81,-0.81
0.88,-2.745,-0.81,-0.72
0.88,-2.745,-0.81,-0.63
0.88,-2.745,-0.81,-0.54
0.88,-2.745,-0.81,-0.45
0.88,-2.745,-0.81,-0.36
0.88,-2.745,-0.81,-0.27
0.88,-2.745,-0.81,-0.18000000000000005
0.88,-2.745,-0.81,-0.09000000000000008
0.88,-2.745,-0.81,0.0
0.88,-2.745,-0.72,-0.9
0.88,-2.745,-0.72,-0.81
0.88,-2.745,-0.72,-0.72
0.88,-2.745,-0.72,-0.63
0.88,-2.745,-0.72,-0.54
0.88,-2.745,-0.72,-0.45
0.88,-2.745,-0.72,-0.36
0.88,-2.745,-0.72,-0.27
0.88,-2.745,-0.72,-0.18000000000000005
0.88,-2.745,-0.72,-0.09000000000000008
0.88,-2.745,-0.72,0.0
0.88,-2.745,-0.63,-0.9
0.88,-2.745,-0.63,-0.81
0.88,-2.745,-0.63,-0.72
0.88,-2.745,-0.63,-0.63
0.88,-2.745,-0.63,-0.54
0.88,-2.745,-0.63,-0.45
0.88,-2.745,-0.63,-0.36
0.88,-2.745,-0.63,-0.27
0.88,-2.745,-0.63,-0.18000000000000005
0.88,-2.745,-0.63,-0.09000000000000008
0.88,-2.745,-0.63,0.0
0.88,-2.745,-0.54,-0.9
0.88,-2.745,-0.54,-0.81
0.88,-2.745,-0.54,-0.72
0.88,-2.745,-0.54,-0.63
0.88,-2.745,-0.54,-0.54
0.88,-2.745,-0.54,-0.45
0.88,-2.745,-0.54,-0.36
0.88,-2.745,-0.54,-0.27
0.88,-2.745,-0.54,-0.18000000000000005
0.88,-2.745,-0.54,-0.09000000000000008
0.88,-2.745,-0.54,0.0
0.88,-2.745,-0.45,-0.9
0.88,-2.745,-0.45,-0.81
0.88,-2.745,-0.45,-0.72
0.88,-2.745,-0.45,-0.63
0.88,-2.745,-0.45,-0.54
0.88,-2.745,-0.45,-0.45
0.88,-2.745,-0.45,-0.36
0.88,-2.745,-0.45,-0.27
0.88,-2.745,-0.45,-0.18000000000000005
0.88,-2.745,-0.45,-0.09000000000000008
0.88,-2.745,-0.45,0.0
0.88,-2.745,-0.36,-0.9
0.88,-2.745,-0.36,-0.81
0.88,-2.745,-0.36,-0.72
0.88,-2.745,-0.36,-0.63
0.88,-2.745,-0.36,-0.54
0.88,-2.745,-0.36,-0.45
0.88,-2.745,-0.36,-0.36
0.88,-2.745,-0.36,-0.27
0.88,-2.745,-0.36,-0.18000000000000005
0.88,-2.745,-0.36,-0.09000000000000008
0.88,-2.745,-0.36,0.0
0.88,-2.745,-0.27,-0.9
0.88,-2.745,-0.27,-0.81
0.88,-2.745,-0.27,-0.72
0.88,-2.745,-0.27,-0.63
0.88,-2.745,-0.27,-0.54
0.88,-2.745,-0.27,-0.45
0.88,-2.745,-0.27,-0.36
0.88,-2.745,-0.27,-0.27
0.88,-2.745,-0.27,-0.18000000000000005
0.88,-2.745,-0.27,-0.09000000000000008
0.88,-2.745,-0.27,0.0
0.88,-2.745,-0.18000000000000005,-0.9
0.88,-2.745,-0.18000000000000005,-0.81
0.88,-2.745,-0.18000000000000005,-0.72
0.88,-2.745,-0.18000000000000005,-0.63
0.88,-2.745,-0.18000000000000005,-0.54
0.88,-2.745,-0.18000000000000005,-0.45
0.88,-2.745,-0.18000000000000005,-0.36
0.88,-2.745,-0.18000000000000005,-0.27
0.88,-2.745,-0.18000000000000005,-0.18000000000000005
0.88,-2.745,-0.18000000000000005,-0.09000000000000008
0.88,-2.745,-0.18000000000000005,0.0
0.88,-2.745,-0.09000000000000008,-0.9
0.88,-2.745,-0.09000000000000008,-0.81
0.88,-2.745,-0.09000000000000008,-0.72
0.88,-2.745,-0.09000000000000008,-0.63
0.88,-2.745,-0.09000000000000008,-0.54
0.88,-2.745,-0.09000000000000008,-0.45
0.88,-2.745,-0.09000000000000008,-0.36
0.88,-2.745,-0.09000000000000008,-0.27
0.88,-2.745,-0.09000000000000008,-0.18000000000000005
0.88,-2.745,-0.09000000000000008,-0.09000000000000008
0.88,-2.745,-0.09000000000000008,0.0
0.88,-2.745,0.0,-0.9
0.88,-2.745,0.0,-0.81
0.88,-2.745,0.0,-0.72
0.88,-2.745,0.0,-0.63
0.88,-2.745,0.0,-0.54
0.88,-2.745,0.0,-0.45
0.88,-2.745,0.0,-0.36
0.88,-2.745,0.0,-0.27
0.88,-2.745,0.0,-0.18000000000000005
0.88,-2.745,0.0,-0.09000000000000008
0.88,-2.745,0.0,0.0
0.9,-2.745,-0.9,-0.9
0.9,-2.745,-0.9,-0.81
0.9,-2.745,-0.9,-0.72
0.9,-2.745,-0.9,-0.63
0.9,-2.745,-0.9,-0.54
0.9,-2.745,-0.9,-0.45
0.9,-2.745,-0.9,-0.36
0.9,-2.745,-0.9,-0.27
0.9,-2.745,-0.9,-0.18000000000000005
0.9,-2.745,-0.9,-0.09000000000000008
0.9,-2.745,-0.9,0.0
0.9,-2.745,-0.81,-0.9
0.9,-2.745,-0.81,-0.81
0.9,-2.745,-0.81,-0.72
0.9,-2.745,-0.81,-0.63
0.9,-2.745,-0.81,-0.54
0.9,-2.745,-0.81,-0.45
0.9,-2.745,-0.81,-0.36
0.9,-2.745,-0.81,-0.27
0.9,-2.745,-0.81,-0.18000000000000005
0.9,-2.745,-0.81,-0.09000000000000008
0.9,-2.745,-0.81,0.0
0.9,-2.745,-0.72,-0.9
0.9,-2.745,-0.72,-0.81
0.9,-2.745,-0.72,-0.72
0.9,-2.745,-0.72,-0.63
0.9,-2.745,-0.72,-0.54
0.9,-2.745,-0.72,-0.45
0.9,-2.745,-0.72,-0.36
0.9,-2.745,-0.72,-0.27
0.9,-2.745,-0.72,-0.18000000000000005
0.9,-2.745,-0.72,-0.09000000000000008
0.9,-2.745,-0.72,0.0
0.9,-2.745,-0.63,-0.9
0.9,-2.745,-0.63,-0.81
0.9,-2.745,-0.63,-0.72
0.9,-2.745,-0.63,-0.63
0.9,-2.745,-0.63,-0.54
0.9,-2.745,-0.63,-0.45
0.9,-2.745,-0.63,-0.36
0.9,-2.745,-0.63,-0.27
0.9,-2.745,-0.63,-0.18000000000000005
0.9,-2.745,-0.63,-0.09000000000000008
0.9,-2.745,-0.63,0.0
0.9,-2.745,-0.54,-0.9
0.9,-2.745,-0.54,-0.81
0.9,-2.745,-0.54,-0.72
0.9,-2.745,-0.54,-0.63
0.9,-2.745,-0.54,-0.54
0.9,-2.745,-0.54,-0.45
0.9,-2.745,-0.54,-0.36
0.9,-2.745,-0.54,-0.27
0.9,-2.745,-0.54,-0.18000000000000005
0.9,-2.745,-0.54,-0.09000000000000008
0.9,-2.745,-0.54,0.0
0.9,-2.745,-0.45,-0.9
0.9,-2.745,-0.45,-0.81
0.9,-2.745,-0.45,-0.72
0.9,-2.745,-0.45,-0.63
0.9,-2.745,-0.45,-0.54
0.9,-2.745,-0.45,-0.45
0.9,-2.745,-0.45,-0.36
0.9,-2.745,-0.45,-0.27
0.9,-2.745,-0.45,-0.18000000000000005
0.9,-2.745,-0.45,-0.09000000000000008
0.9,-2.745,-0.45,0.0
0.9,-2.745,-0.36,-0.9
0.9,-2.745,-0.36,-0.81
0.9,-2.745,-0.36,-0.72
0.9,-2.745,-0.36,-0.63
0.9,-2.745,-0.36,-0.54
0.9,-2.745,-0.36,-0.45
0.9,-2.745,-0.36,-0.36
0.9,-2.745,-0.36,-0.27
0.9,-2.745,-0.36,-0.18000000000000005
0.9,-2.745,-0.36,-0.09000000000000008
0.9,-2.745,-0.36,0.0
0.9,-2.745,-0.27,-0.9
0.9,-2.745,-0.27,-0.81
0.9,-2.745,-0.27,-0.72
0.9,-2.745,-0.27,-0.63
0.9,-2.745,-0.27,-0.54
0.9,-2.745,-0.27,-0.45
0.9,-2.745,-0.27,-0.36
0.9,-2.745,-0.27,-0.27
0.9,-2.745,-0.27,-0.18000000000000005
0.9,-2.745,-0.27,-0.09000000000000008
0.9,-2.745,-0.27,0.0
0.9,-2.745,-0.18000000000000005,-0.9
0.9,-2.745,-0.18000000000000005,-0.81
0.9,-2.745,-0.18000000000000005,-0.72
0.9,-2.745,-0.18000000000000005,-0.63
0.9,-2.745,-0.18000000000000005,-0.54
0.9,-2.745,-0.18000000000000005,-0.45
